序号,编号,分类号,单位名称（中文）,时代（中文）,地址（中文）,类型（中文）,批次（中文）,省级政区名称（中文）,市级政区名称（中文）,县级政区名称（中文）
47,48,1,太室阙,东汉,河南省登封县,古建筑,第一批,河南省,郑州市,登封市
48,49,2,少室阙,东汉,河南省登封县,古建筑,第一批,河南省,郑州市,登封市
49,50,3,启母阙,东汉,河南省登封县,古建筑,第一批,河南省,郑州市,登封市
50,51,4,冯焕阙,东汉,四川省渠县,古建筑,第一批,四川省,达州市,渠县
51,52,5,平阳府君阙,东汉,四川绵阳县,古建筑,第一批,四川省,绵阳市,涪城区
52,53,6,沈府君阙,东汉,四川省渠县,古建筑,第一批,四川省,达州市,渠县
57,58,11,安济桥（大石桥）,隋,河北省宁晋县,古建筑,第一批,河北省,石家庄市,赵县
58,59,12,安平桥（五里桥）,南宋,福建省晋江县,古建筑,第一批,福建省,泉州市,南安市
59,60,13,永通桥（小石桥）,金,河北省宁晋县,古建筑,第一批,河北省,邢台市,宁晋县
76,77,30,义慈惠石柱,北齐,河北省易县,古建筑,第一批,河北省,保定市,定兴县
84,85,38,晋祠,宋,山西省太原市,古建筑,第一批,山西省,太原市,晋源区
97,98,51,居庸关云台,元,北京市昌平县,古建筑,第一批,北京市,北京市,昌平区
100,101,54,万里长城－八达岭,明,北京市延庆县,古建筑,第一批,北京市,北京市,延庆县
101,102,55,万里长城－山海关,明,河北省秦皇岛市,古建筑,第一批,河北省,秦皇岛市,山海关区
102,103,56,万里长城－嘉峪关,明,甘肃省酒泉市,古建筑,第一批,甘肃省,武威市,凉州区
103,104,57,西安城墙,明,陕西省西安市,古建筑,第一批,陕西省,西安市,碑林区
104,105,58,天坛,明,北京市崇文区,古建筑,第一批,北京市,北京市,东城区
105,106,59,北海及团城,明、清,北京市西城区,古建筑,第一批,北京市,北京市,西城区
112,113,66,国子监,清,北京市东城区,古建筑,第一批,北京市,北京市,东城区
118,119,72,武侯祠,清,四川省成都市,古建筑,第一批,四川省,成都市,武侯区
120,121,74,拙政园,明、清,江苏省苏州市,古建筑,第一批,江苏省,苏州市,姑苏区
121,122,75,颐和园,清,北京市海淀区,古建筑,第一批,北京市,北京市,海淀区
122,123,76,避暑山庄,清,河北省承德市,古建筑,第一批,河北省,承德市,双桥区
123,124,77,留园,清,江苏省苏州市,古建筑,第一批,江苏省,苏州市,姑苏区
375,196,2,可园,清,北京市东城区,古建筑,第五批,北京市,北京市,西城区
376,197,3,孚王府,清,北京市朝阳区,古建筑,第五批,北京市,北京市,东城区
377,198,4,景山,明、清,北京市西城区,古建筑,第五批,北京市,北京市,东城区
381,202,8,先农坛,明、清,北京市宣武区,古建筑,第五批,北京市,北京市,丰台区
386,207,13,天津广东会馆,清,天津市南开区,古建筑,第五批,天津市,天津市,南开区
390,211,17,鸡鸣驿城,明,河北省怀来县,古建筑,第五批,河北省,张家口市,怀来县
392,213,19,定州贡院,清,河北省定州市,古建筑,第五批,河北省,保定市,定州市
400,221,27,腰山王氏庄园,清,河北省顺平县,古建筑,第五批,河北省,保定市,顺平县
401,222,28,古莲花池,金至清,河北省保定市,古建筑,第五批,河北省,保定市,南市区
404,225,31,大同九龙壁,明,山西省大同市,古建筑,第五批,山西省,大同市,城区
410,231,37,窦大夫祠,元至清,山西省太原市,古建筑,第五批,山西省,太原市,尖草坪区
414,235,41,边靖楼,明,山西省代县,古建筑,第五批,山西省,忻州市,代县
421,242,48,大悲院,宋、金,山西省曲沃县,古建筑,第五批,山西省,临汾市,曲沃县
423,244,50,沁县大云院,宋至清,山西省沁县,古建筑,第五批,山西省,长治市,沁县
431,252,58,洪济院,金至清,山西省武乡县,古建筑,第五批,山西省,长治市,武乡县
441,262,68,乔家大院,清,山西省祁县,古建筑,第五批,山西省,晋中市,祁县
459,280,86,和硕恪靖公主府,清,内蒙古自治区呼和浩特市,古建筑,第五批,内蒙古自治区,呼和浩特市,回民区
463,284,90,退思园,清,江苏省吴江市,古建筑,第五批,江苏省,苏州市,吴江区
464,285,91,宝带桥,明,江苏省苏州市,古建筑,第五批,江苏省,苏州市,吴中区
465,286,92,耦园,清,江苏省苏州市,古建筑,第五批,江苏省,苏州市,姑苏区
467,288,94,水绘园,清,江苏省如皋市,古建筑,第五批,江苏省,南通市,如皋市
468,289,95,古月桥,宋,浙江省义乌市,古建筑,第五批,浙江省,金华市,义乌市
469,290,96,黄山八面厅,清,浙江省义乌市,古建筑,第五批,浙江省,金华市,义乌市
472,293,99,南阁牌楼群,明,浙江省乐清市,古建筑,第五批,浙江省,温州市,乐清市
473,294,100,庆安会馆,清,浙江省宁波市,古建筑,第五批,浙江省,宁波市,海曙区
475,296,102,如龙桥,明,浙江省庆元县,古建筑,第五批,浙江省,丽水市,庆元县
476,297,103,通济堰,南朝至清,浙江省丽水市,古建筑,第五批,浙江省,丽水市,莲都区
478,299,105,文澜阁,清,浙江省杭州市,古建筑,第五批,浙江省,杭州市,西湖区
479,300,106,俞源村古建筑群,元至清,浙江省武义县,古建筑,第五批,浙江省,金华市,武义县
